"","nGrams","Freq"
"506","Thursday",3128
"507","project",3127
"508","ready",3127
"509","wait",3121
"510","special",3118
"511","mother",3114
"512","University",3108
"513","party",3105
"514","heard",3104
"515","history",3104
"516","third",3098
"517","true",3095
"518","among",3083
"519","black",3077
"520","known",3069
"521","death",3066
"522","especially",3059
"523","parents",3054
"524","lead",3050
"525","hear",3047
"526","possible",3041
"527","While",3031
"528","question",3017
"529","reading",3013
"530","near",3012
"531","Obama",3010
"532","within",3003
"533","thinking",2997
"534","tax",2993
"535","class",2983
"536","Day",2975
"537","event",2972
"538","short",2971
"539","San",2964
"540","report",2963
"541","lives",2962
"542","turned",2962
"543","girl",2959
"544","goes",2957
"545","living",2956
"546","maybe",2950
"547","building",2946
"548","available",2943
"549","guy",2943
"550","spent",2942
"551","u",2942
"552","gets",2941
"553","moment",2941
"554","ask",2940
"555","board",2926
"556","beautiful",2920
"557","watch",2911
"558","stuff",2899
"559","market",2898
"560","House",2892
"561","guys",2890
"562","Center",2884
"563","chance",2881
"564","stay",2869
"565","service",2867
"566","word",2867
"567","looked",2866
"568","add",2861
"569","began",2858
"570","president",2853
"571","Wednesday",2849
"572","buy",2847
"573","worked",2843
"574","finally",2839
"575","following",2838
"576","sense",2834
"577","wrong",2832
"578","card",2829
"579","tonight",2825
"580","phone",2820
"581","Why",2815
"582","Ohio",2806
"583","final",2804
"584","These",2799
"585","instead",2798
"586","inside",2796
"587","March",2783
"588","beer",2781
"589","federal",2772
"590","perfect",2772
"591","tried",2770
"592","coach",2760
"593","players",2760
"594","issue",2755
"595","feeling",2748
"596","recent",2739
"597","likely",2736
"598","write",2727
"599","director",2726
"600","Oh",2713
"601","check",2697
"602","himself",2685
"603","per",2684
"604","Our",2677
"605","political",2677
"606","works",2672
"607","takes",2667
"608","meet",2666
"609","However",2650
"610","nearly",2650
"611","Here",2649
"612","fall",2643
"613","clear",2642
"614","looks",2639
"615","shot",2635
"616","wants",2633
"617","understand",2629
"618","continue",2628
"619","store",2627
"620","based",2625
"621","held",2607
"622","visit",2604
"623","Do",2593
"624","son",2593
"625","above",2590
"626","single",2590
"627","meeting",2586
"628","major",2584
"629","talking",2583
"630","Even",2572
"631","space",2570
"632","happened",2569
"633","recently",2567
"634","longer",2559
"635","strong",2557
"636","eyes",2556
"637","became",2555
"638","wife",2554
"639","court",2551
"640","create",2549
"641","include",2549
"642","D",2548
"643","happen",2544
"644","age",2537
"645","seem",2531
"646","schools",2530
"647","sometimes",2523
"648","School",2515
"649","paper",2510
"650","cool",2503
"651","themselves",2502
"652","thanks",2499
"653","simply",2492
"654","amazing",2480
"655","control",2474
"656","ways",2474
"657","record",2473
"658","plans",2471
"659","walk",2469
"660","pick",2467
"661","level",2466
"662","town",2459
"663","Park",2445
"664","gone",2444
"665","companies",2442
"666","cost",2441
"667","issues",2436
"668","eat",2431
"669","lol",2431
"670","personal",2430
"671","baby",2427
"672","however",2425
"673","return",2424
"674","learn",2423
"675","South",2416
"676","Street",2401
"677","starting",2400
"678","decision",2393
"679","expected",2390
"680","media",2386
"681","America",2376
"682","husband",2376
"683","song",2373
"684","questions",2368
"685","Christmas",2366
"686","online",2364
"687","wrote",2362
"688","Of",2361
"689","site",2360
"690","challenge",2356
"691","jobs",2356
"692","art",2354
"693","feet",2354
"694","red",2354
"695","whose",2354
"696","center",2353
"697","ones",2341
"698","trip",2341
"699","shows",2340
"700","college",2338
"701","received",2338
"702","Jersey",2328
"703","social",2326
"704","brought",2322
"705","example",2320
"706","watching",2317
"707","wonderful",2309
"708","provide",2308
"709","enjoy",2304
"710","North",2304
"711","President",2303
"712","father",2298
"713","Washington",2298
"714","picture",2296
"715","please",2296
"716","billion",2294
"717","hold",2290
"718","career",2289
"719","interesting",2286
"720","offer",2285
"721","Is",2282
"722","United",2282
"723","By",2272
"724","campaign",2272
"725","National",2271
"726","yourself",2267
"727","loved",2265
"728","problems",2264
"729","human",2263
"730","field",2261
"731","giving",2261
"732","worth",2261
"733","door",2260
"734","huge",2259
"735","hour",2257
"736","form",2250
"737","Yes",2247
"738","piece",2242
"739","fire",2241
"740","hot",2241
"741","David",2240
"742","race",2240
"743","wish",2236
"744","doesn",2230
"745","road",2227
"746","goal",2221
"747","Or",2210
"748","West",2206
"749","video",2203
"750","sales",2198
"751","simple",2195
"752","cannot",2194
"753","break",2193
"754","tomorrow",2191
"755","national",2188
"756","difficult",2185
"757","earlier",2184
"758","California",2178
"759","bill",2177
"760","finished",2159
"761","oil",2159
"762","current",2157
"763","died",2154
"764","led",2149
"765","fans",2148
"766","Cleveland",2146
"767","Louis",2141
"768","usually",2141
"769","sent",2138
"770","hands",2137
"771","budget",2135
"772","Last",2132
"773","Jesus",2130
"774","dinner",2122
"775","interest",2117
"776","yes",2115
"777","moved",2109
"778","quickly",2107
"779","girls",2093
"780","knows",2091
"781","spend",2089
"782","met",2088
"783","attention",2085
"784","energy",2083
"785","itself",2080
"786","entire",2066
"787","TV",2066
"788","stories",2064
"789","sweet",2063
"790","Department",2059
"791","due",2059
"792","World",2057
"793","fine",2054
"794","bed",2045
"795","daughter",2045
"796","Good",2042
"797","cover",2031
"798","position",2031
"799","June",2029
"800","action",2027
"801","Today",2025
"802","involved",2022
"803","round",2020
"804","staff",2018
"805","hair",2016
"806","ball",2015
"807","events",2015
"808","Paul",2014
"809","certain",2013
"810","spring",2012
"811","loss",2011
"812","seemed",2009
"813","cause",2006
"814","James",2006
"815","services",2002
"816","guess",2001
"817","general",1998
"818","table",1990
"819","excited",1983
"820","First",1982
"821","helped",1981
"822","kept",1981
"823","step",1977
"824","seeing",1976
"825","created",1974
"826","stand",1974
"827","Michael",1971
"828","opportunity",1971
"829","middle",1968
"830","released",1966
"831","price",1961
"832","C",1960
"833","financial",1959
"834","website",1956
"835","miss",1955
"836","low",1949
"837","role",1949
"838","character",1948
"839","White",1947
"840","district",1946
"841","seven",1946
"842","green",1945
"843","teams",1945
"844","definitely",1942
"845","industry",1942
"846","sleep",1942
"847","mom",1941
"848","paid",1940
"849","learned",1933
"850","player",1933
"851","further",1928
"852","alone",1927
"853","drive",1923
"854","changes",1922
"855","completely",1922
"856","An",1920
"857","Happy",1920
"858","From",1919
"859","comment",1914
"860","allowed",1907
"861","private",1906
"862","education",1902
"863","sign",1902
"864","waiting",1902
"865","economy",1901
"866","although",1899
"867","similar",1898
"868","member",1897
"869","boy",1896
"870","vote",1896
"871","air",1895
"872","increase",1893
"873","practice",1893
"874","wine",1892
"875","Because",1890
"876","moving",1890
"877","upon",1890
"878","sound",1887
"879","Thank",1886
"880","amount",1881
"881","exactly",1874
"882","bought",1873
"883","Maybe",1873
"884","Most",1870
"885","ended",1867
"886","Also",1866
"887","choice",1866
"888","Your",1859
"889","changed",1857
"890","higher",1856
"891","statement",1856
"892","Her",1854
"893","allow",1847
"894","perhaps",1844
"895","written",1843
"896","answer",1842
"897","main",1840
"898","training",1840
"899","ground",1838
"900","Oregon",1838
"901","lots",1837
"902","J",1836
"903","ideas",1835
"904","Who",1830
"905","research",1829
"906","situation",1829
"907","Love",1825
"908","runs",1825
"909","Chicago",1824
"910","result",1824
"911","study",1824
"912","below",1823
"913","fresh",1823
"914","style",1823
"915","economic",1822
"916","average",1821
"917","passed",1818
"918","focus",1816
"919","awesome",1811
"920","county",1811
"921","reported",1808
"922","save",1805
"923","workers",1805
"924","eight",1801
"925","property",1799
"926","success",1798
"927","Great",1797
"928","afternoon",1796
"929","page",1794
"930","original",1791
"931","dark",1790
"932","pass",1789
"933","church",1788
"934","July",1782
"935","Dr",1775
"936","Portland",1775
"937","period",1772
"938","certainly",1771
"939","voice",1769
"940","spending",1766
"941","fight",1763
"942","floor",1763
"943","pictures",1760
"944","Republican",1755
"945","total",1754
"946","view",1754
"947","hate",1748
"948","included",1747
"949","color",1745
"950","calls",1743
"951","expect",1743
"952","design",1740
"953","throughout",1739
"954","complete",1737
"955","dog",1736
"956","Like",1736
"957","beginning",1735
"958","relationship",1732
"959","version",1732
"960","scene",1729
"961","extra",1728
"962","onto",1728
"963","gives",1723
"964","rate",1722
"965","dead",1719
"966","Police",1716
"967","serious",1715
"968","employees",1714
"969","sort",1713
"970","miles",1711
"971","characters",1710
"972","bar",1709
"973","key",1709
"974","student",1709
"975","More",1707
"976","places",1706
"977","begin",1702
"978","Big",1702
"979","States",1702
"980","war",1701
"981","ahead",1700
"982","deep",1699
"983","Since",1697
"984","fell",1695
"985","states",1689
"986","development",1687
"987","growing",1686
"988","Let",1684
"989","figure",1683
"990","thank",1682
"991","families",1680
"992","potential",1680
"993","track",1678
"994","restaurant",1677
"995","band",1673
"996","High",1673
"997","People",1673
"998","sit",1673
"999","effort",1671
"1000","pieces",1671
"1001","named",1670
"1002","projects",1665
"1003","yesterday",1664
"1004","East",1662
"1005","followed",1661
"1006","weather",1661
"1007","cold",1654
"1008","finish",1654
"1009","photos",1651
"1010","title",1651
"1011","release",1650
"1012","groups",1646
"1013","land",1646
"1014","toward",1645
"1015","includes",1643
"1016","Road",1642
"1017","evening",1638
"1018","opened",1638
"1019","pain",1637
"1020","performance",1637
"1021","quality",1636
"1022","birthday",1635
"1023","etc",1634
"1024","whatever",1626
"1025","type",1620
"1026","spot",1616
"1027","announced",1614
"1028","costs",1614
"1029","photo",1612
"1030","send",1612
"1031","www",1611
"1032","Chris",1609
"1033","medical",1605
"1034","ran",1604
"1035","street",1604
"1036","box",1602
"1037","stage",1599
"1038","immediately",1598
"1039","wonder",1597
"1040","football",1593
"1041","test",1593
"1042","happens",1592
"1043","opening",1592
"1044","served",1590
"1045","build",1587
"1046","results",1587
"1047","date",1585
"1048","lose",1585
"1049","force",1584
"1050","Two",1584
"1051","popular",1583
"1052","email",1582
"1053","act",1579
"1054","Court",1579
"1055","straight",1579
"1056","biggest",1578
"1057","details",1577
"1058","present",1575
"1059","cases",1573
"1060","killed",1573
"1061","heat",1571
"1062","Smith",1568
"1063","products",1567
"1064","manager",1564
"1065","brother",1562
"1066","leaving",1562
"1067","areas",1561
"1068","common",1561
"1069","conference",1561
"1070","rules",1556
"1071","sitting",1556
"1072","natural",1554
"1073","beyond",1551
"1074","growth",1550
"1075","crazy",1546
"1076","mostly",1542
"1077","previous",1542
"1078","cup",1541
"1079","quarter",1540
"1080","size",1540
"1081","legal",1538
"1082","message",1538
"1083","Have",1537
"1084","sister",1534
"1085","wasn",1533
"1086","Once",1532
"1087","boys",1530
"1088","image",1530
"1089","sold",1530
"1090","beat",1529
"1091","data",1528
"1092","built",1527
"1093","starts",1527
"1094","truly",1526
"1095","evidence",1523
"1096","learning",1523
"1097","consider",1521
"1098","hospital",1518
"1099","rights",1515
"1100","blue",1514
"1101","prices",1513
"1102","Many",1512
"1103","busy",1511
"1104","fan",1511
"1105","showed",1511
"1106","Those",1511
"1107","value",1510
"1108","reach",1509
"1109","safe",1508
"1110","lunch",1507
"1111","note",1507
"1112","various",1504
"1113","B",1501
"1114","Romney",1498
"1115","defense",1496
"1116","leaders",1494
"1117","particular",1494
"1118","base",1492
"1119","addition",1488
"1120","fit",1486
"1121","required",1486
"1122","Another",1485
"1123","block",1484
"1124","gift",1483
"1125","hearing",1483
"1126","kitchen",1483
"1127","fast",1477
"1128","Although",1475
"1129","credit",1475
"1130","warm",1475
"1131","N",1474
"1132","senior",1474
"1133","shop",1474
"1134","regular",1473
"1135","born",1471
"1136","missed",1471
"1137","Please",1471
"1138","driving",1470
"1139","items",1470
"1140","speak",1469
"1141","Brown",1466
"1142","safety",1466
"1143","drink",1464
"1144","recipe",1464
"1145","terms",1463
"1146","truth",1461
"1147","eye",1460
"1148","wear",1459
"1149","review",1458
"1150","stopped",1456
"1151","executive",1454
"1152","January",1454
"1153","cream",1453
"1154","blood",1452
"1155","poor",1451
"1156","tough",1451
"1157","contract",1450
"1158","choose",1449
"1159","funny",1449
"1160","meant",1447
"1161","interested",1446
"1162","sell",1446
"1163","English",1445
"1164","quick",1445
"1165","ability",1443
"1166","lack",1443
"1167","Mike",1443
"1168","chief",1442
"1169","District",1442
"1170","feels",1442
"1171","particularly",1441
"1172","cards",1440
"1173","asking",1439
"1174","park",1439
"1175","bottom",1438
"1176","residents",1438
"1177","winning",1438
"1178","coffee",1436
"1179","offered",1434
"1180","walked",1434
"1181","considered",1433
"1182","walking",1433
"1183","older",1431
"1184","numbers",1430
"1185","chicken",1429
"1186","telling",1429
"1187","interview",1425
"1188","programs",1425
"1189","taste",1423
"1190","isn",1420
"1191","risk",1418
"1192","sugar",1416
"1193","Facebook",1415
"1194","fear",1410
"1195","latest",1405
"1196","serve",1404
"1197","lovely",1403
"1198","charges",1402
"1199","forget",1400
"1200","sale",1400
"1201","Texas",1400
"1202","eating",1399
"1203","easily",1398
"1204","policy",1397
"1205","grow",1395
"1206","Lord",1395
"1207","daily",1394
"1208","parts",1393
"1209","Still",1393
"1210","sounds",1392
"1211","closed",1388
"1212","clean",1384
"1213","Are",1383
"1214","gas",1380
"1215","letter",1379
"1216","putting",1375
"1217","lower",1374
"1218","caught",1373
"1219","cheese",1373
"1220","dream",1373
"1221","weight",1372
"1222","filled",1370
"1223","wall",1370
"1224","annual",1369
"1225","difference",1368
"1226","healthy",1367
"1227","mine",1367
"1228","security",1366
"1229","US",1362
"1230","travel",1361
"1231","raised",1358
"1232","signed",1358
"1233","comments",1357
"1234","Every",1357
"1235","computer",1356
"1236","Christ",1351
"1237","THE",1351
"1238","glass",1350
"1239","join",1349
"1240","hurt",1348
"1241","album",1347
"1242","officers",1347
"1243","reality",1346
"1244","Hall",1344
"1245","lines",1344
"1246","supposed",1344
"1247","author",1343
"1248","Can",1343
"1249","Senate",1342
"1250","despite",1341
"1251","effect",1341
"1252","search",1341
"1253","French",1339
"1254","George",1339
"1255","minute",1338
"1256","receive",1338
"1257","lived",1337
"1258","November",1336
"1259","kid",1335
"1260","mix",1335
"1261","teacher",1335
"1262","benefits",1333
"1263","Americans",1332
"1264","die",1332
"1265","E",1329
"1266","nature",1329
"1267","Twitter",1328
"1268","eventually",1327
"1269","product",1327
"1270","remain",1327
"1271","planning",1326
"1272","reports",1324
"1273","Hey",1323
"1274","scored",1323
"1275","account",1322
"1276","owner",1320
"1277","teachers",1320
"1278","novel",1318
"1279","Mark",1316
"1280","officer",1316
"1281","fourth",1314
"1282","term",1313
"1283","military",1310
"1284","positive",1310
"1285","failed",1309
"1286","double",1308
"1287","goals",1306
"1288","customers",1304
"1289","voters",1304
"1290","Robert",1303
"1291","Where",1302
"1292","ice",1301
"1293","songs",1300
"1294","totally",1299
"1295","Bill",1298
"1296","official",1298
"1297","access",1297
"1298","reached",1297
"1299","sports",1297
"1300","leading",1296
"1301","picked",1293
"1302","arrived",1292
"1303","Me",1292
"1304","chocolate",1287
"1305","leaves",1287
"1306","wearing",1287
"1307","subject",1284
"1308","approach",1283
"1309","thoughts",1283
"1310","investigation",1282
"1311","department",1281
"1312","winter",1280
"1313","Florida",1279
"1314","spokesman",1279
"1315","address",1275
"1316","agency",1275
"1317","normal",1275
"1318","technology",1275
"1319","enjoyed",1274
"1320","cake",1272
"1321","charge",1272
"1322","M",1272
"1323","remains",1272
"1324","response",1272
"1325","language",1270
"1326","sex",1268
"1327","individual",1266
"1328","charged",1264
"1329","currently",1264
"1330","dance",1263
"1331","culture",1262
"1332","bag",1259
"1333","continued",1259
"1334","mention",1259
"1335","Joe",1256
"1336","Johnson",1256
"1337","plays",1254
"1338","attorney",1251
"1339","faith",1250
"1340","Los",1249
"1341","production",1248
"1342","homes",1246
"1343","ride",1244
"1344","judge",1243
"1345","marriage",1243
"1346","reasons",1243
"1347","stock",1243
"1348","gonna",1240
"1349","realize",1240
"1350","hoping",1239
"1351","Arizona",1238
"1352","crowd",1238
"1353","efforts",1238
"1354","insurance",1236
"1355","sauce",1236
"1356","Sometimes",1236
"1357","February",1235
"1358","rock",1235
"1359","slightly",1235
"1360","Black",1234
"1361","bowl",1232
"1362","cars",1232
"1363","Add",1231
"1364","article",1231
"1365","Don",1231
"1366","brain",1230
"1367","liked",1230
"1368","tells",1229
"1369","collection",1228
"1370","China",1227
"1371","taxes",1227
"1372","Will",1227
"1373","audience",1226
"1374","missing",1226
"1375","attack",1225
"1376","keeping",1225
"1377","catch",1223
"1378","nine",1223
"1379","oh",1221
"1380","Both",1220
"1381","returned",1220
"1382","trust",1220
"1383","Instead",1219
"1384","contact",1217
"1385","Red",1217
"1386","whom",1217
"1387","finding",1216
"1388","club",1215
"1389","impact",1213
"1390","nation",1213
"1391","records",1213
"1392","Avenue",1212
"1393","Thomas",1211
"1394","agreed",1210
"1395","watched",1210
"1396","London",1208
"1397","necessary",1207
"1398","offers",1207
"1399","de",1206
"1400","touch",1206
"1401","posted",1204
"1402","tree",1204
"1403","agree",1203
"1404","businesses",1203
"1405","sad",1203
"1406","physical",1202
"1407","traffic",1202
"1408","easier",1201
"1409","shooting",1201
"1410","raise",1198
"1411","slow",1198
"1412","British",1197
"1413","cute",1197
"1414","plant",1196
"1415","Christian",1195
"1416","provided",1195
"1417","pulled",1195
"1418","Tom",1195
"1419","absolutely",1193
"1420","election",1193
"1421","movies",1193
"1422","Life",1192
"1423","married",1192
"1424","successful",1192
"1425","cancer",1191
"1426","draft",1190
"1427","December",1189
"1428","trial",1189
"1429","overall",1188
"1430","range",1188
"1431","trade",1188
"1432","pressure",1186
"1433","rain",1186
"1434","adding",1185
"1435","calling",1184
"1436","P",1183
"1437","Valley",1183
"1438","twice",1181
"1439","countries",1177
"1440","According",1176
"1441","bank",1175
"1442","Republicans",1175
"1443","worse",1175
"1444","realized",1174
"1445","sat",1174
"1446","Their",1174
"1447","star",1171
"1448","throw",1171
"1449","doubt",1169
"1450","fair",1169
"1451","winner",1168
"1452","imagine",1166
"1453","Time",1166
"1454","forced",1165
"1455","helping",1164
"1456","shopping",1164
"1457","clearly",1162
"1458","dry",1162
"1459","firm",1162
"1460","sorry",1161
"1461","Council",1160
"1462","proud",1160
"1463","additional",1158
"1464","leader",1158
"1465","glad",1157
"1466","decide",1155
"1467","organization",1154
"1468","Jones",1152
"1469","holding",1151
"1470","victory",1151
"1471","writer",1151
"1472","designed",1150
"1473","listen",1148
"1474","readers",1148
"1475","talked",1147
"1476","appeared",1146
"1477","drug",1146
"1478","Go",1146
"1479","traditional",1145
"1480","College",1144
"1481","drop",1144
"1482","Only",1144
"1483","crime",1140
"1484","grew",1140
"1485","hotel",1139
"1486","Williams",1139
"1487","seconds",1138
"1488","attempt",1136
"1489","plenty",1136
"1490","dollars",1134
"1491","Francisco",1134
"1492","link",1134
"1493","Scott",1134
"1494","Other",1133
"1495","conversation",1132
"1496","River",1130
"1497","bigger",1129
"1498","garden",1126
"1499","tour",1126
"1500","league",1125
"1501","rates",1125
"1502","except",1123
"1503","L",1123
"1504","welcome",1122
"1505","names",1121
"1506","thousands",1121
"1507","Its",1120
"1508","plus",1120
"1509","broken",1118
"1510","butter",1118
"1511","largest",1117
"1512","showing",1116
"1513","society",1115
"1514","stores",1115
"1515","Lake",1114
"1516","skills",1113
"1517","neighborhood",1112
"1518","Angeles",1110
"1519","match",1110
"1520","benefit",1107
"1521","Hope",1107
"1522","via",1107
"1523","debt",1106
"1524","seriously",1106
"1525","turns",1106
"1526","w",1106
"1527","R",1105
"1528","hits",1102
"1529","heavy",1101
"1530","corner",1099
"1531","dad",1099
"1532","Did",1099
"1533","willing",1099
"1534","creative",1098
"1535","cuts",1098
"1536","sun",1097
